NR_CONTA;30002
DT. MOV;CD.OPER;OPERACAO;HIST. AUX; CONCIL.;ESPECIE;NR. DOC;CREDITO;DEBITO;SALDO;SLD. CONCIL"
31/12/2025;;;;;;;;;-19.987,56;-54.691,16
10/03/2026;910;PAGAMENTO EM DINHEIRO;525 148 189 224 COOP;Sim;Dinheiro;;;139,25;-20.000,00
TOTAL DIA;;;;;;;139,25 ;139,25;-20.000,00;-53.428,61
11/03/2026;910;PAGAMENTO EM DINHEIRO;525 148 189 225 COOP;Sim;Dinheiro;;;129,25;-20.129,25
11/03/2026;95;C TED-TRANSF ELET DISPON;ARQUIVO LIDO DUPLICADO;Sim;Outro documento;;129,25;;-20.000,00
11/03/2026;75;TRANSFERENCIA ENTRE CONTAS;ARQUIVO LIDO DUPLICADO AJUSTE DE SALDO A DEBITO;Não;Outro documento;;;129,25;-20.129,25
11/03/2026;910;PAGAMENTO EM DINHEIRO;525 148 189 232 COOP;Sim;Dinheiro;;;129,25;-20.258,50
11/03/2026;264;TARIFAS PIX;TARIFA PIX TOTVS;Sim;Outro documento;;;0,75;-20.259,25
11/03/2026;95;C TED-TRANSF ELET DISPON;ARQUIVO SUBIU DUPLICADO AJUSTE DE SALDO;Não;Outro documento;;129,25;;-20.130,00
TOTAL DIA;;;;;;;258,50 ;388,50;-20.130,00;-53.377,61
12/03/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;227554;148,25;;-19.981,75
12/03/2026;910;PAGAMENTO EM DINHEIRO;525 148 189 226 COOP;Sim;Dinheiro;;;148,25;-20.130,00
TOTAL DIA;;;;;;;148,25 ;148,25;-20.130,00;-53.377,61
13/03/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;227684;78,25;;-20.051,75
13/03/2026;910;PAGAMENTO EM DINHEIRO;525 148 189 227 COOP;Sim;Dinheiro;;;78,25;-20.130,00
TOTAL DIA;;;;;;;78,25 ;78,25;-20.130,00;-53.377,61
16/03/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;227915;84,25;;-20.045,75
16/03/2026;269;CHEQUE ESPECIAL;;Sim;Outro documento;;;84,25;-20.130,00
TOTAL DIA;;;;;;;84,25 ;84,25;-20.130,00;-53.377,61
20/03/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;228522;241,25;;-19.888,75
20/03/2026;269;CHEQUE ESPECIAL;;Sim;Outro documento;;;241,25;-20.130,00
TOTAL DIA;;;;;;;241,25 ;241,25;-20.130,00;-53.377,61
23/03/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;228695;88,25;;-20.041,75
23/03/2026;1331;CREDITO PIX ESTORNADO;;Sim;Dinheiro;;120,00;;-19.921,75
23/03/2026;1332;DEBITO TAXA PIX ESTORNADO;;Sim;Dinheiro;;;0,75;-19.922,50
23/03/2026;1327;ESTORNO DE PIX;;Sim;Dinheiro;;;120,00;-20.042,50
23/03/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;228809;506,25;;-19.536,25
23/03/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;229777;88,25;;-19.448,00
23/03/2026;269;CHEQUE ESPECIAL;;Sim;Outro documento;;;506,25;-19.954,25
23/03/2026;910;PAGAMENTO EM DINHEIRO;525 148 189 235 COOP;Sim;Dinheiro;;;175,75;-20.130,00
TOTAL DIA;;;;;;;802,75 ;802,75;-20.130,00;-53.377,61
25/03/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;229089;25,25;;-20.104,75
25/03/2026;910;PAGAMENTO EM DINHEIRO;525 148 189 233 COOP;Sim;Dinheiro;;;25,25;-20.130,00
TOTAL DIA;;;;;;;25,25 ;25,25;-20.130,00;-53.377,61
27/03/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;229355;79,25;;-20.050,75
27/03/2026;910;PAGAMENTO EM DINHEIRO;525 148 189 234 COOP;Sim;Dinheiro;;;79,25;-20.130,00
TOTAL DIA;;;;;;;79,25 ;79,25;-20.130,00;-53.377,61
30/03/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;229491;219,25;;-19.910,75
30/03/2026;1296;BAIXA CARTEIRA DIGITAL;;Sim;Dinheiro;229731;147,25;;-19.763,50
30/03/2026;910;PAGAMENTO EM DINHEIRO;525 148 189 236 COOP;Sim;Dinheiro;;;366,50;-20.130,00
TOTAL DIA;;;;;;;366,50 ;366,50;-20.130,00;-53.377,61
31/03/2026;994;CREDITO BX DE FATURA - BANCO;CREDITO BX  FAT  CLIENTE;Sim;Dinheiro;;130,00;;-20.000,00
31/03/2026;269;CHEQUE ESPECIAL;;Sim;Outro documento;;;1.526,29;-21.526,29
TOTAL DIA;;;;;;;130,00 ;1.526,29;-21.526,29;-54.903,90
TOTAL GERAL;;;;;;;9.685,60;11.224,33;-21.526,29;-54.903,90
